community_sdg_id,community_id,activity_id,sdg_goal,sdg_target,alignment_type,evidence_summary_zh,indicator_name_zh,observed_value,observed_unit,confidence_score,assessment_method,assessed_on,reviewer_role,source_title,source_url,record_status,data_quality_flag,is_example,created_at,updated_at,schema_version,notes
SDG-CAND-ACT-2024-0006,COM-0006,ACT-2024-0006,11,11.4,indirect,「元宵踩街活動」的核定名稱與活動類型支持提出 SDG 11 候選；文化或節慶方案可能連結文化保存，但活動存在不等於已保護文化遺產。,,,,0.3,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第一階段核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LiA6ZqO5q615qC45a6a6KGoKDExMzAxMjTmoLjlrpopLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTExMzMyNC81ODRjMjhlMi0zMzBhLTRhYmItYmJkZC1kODVkNWFhYmFmNmYucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 11: Sustainable Cities and Communities（https://sdgs.un.org/goals/goal11）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2024-0007,COM-0029,ACT-2024-0007,11,11.4,indirect,「中秋齊心聚團圓」的核定名稱與活動類型支持提出 SDG 11 候選；文化或節慶方案可能連結文化保存，但活動存在不等於已保護文化遺產。,,,,0.3,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 11: Sustainable Cities and Communities（https://sdgs.un.org/goals/goal11）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2024-0008,COM-0018,ACT-2024-0008,4,4.7,indirect,「苗栗縣卓越塭內社區發展協會參訪」的核定名稱與活動類型支持提出 SDG 4 候選；方案類型涉及非正式學習或社區觀摩，但尚未證明學習成果或永續教育內容。,,,,0.35,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 4: Quality Education（https://sdgs.un.org/goals/goal4）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2024-0009,COM-0026,ACT-2024-0009,11,11.4,indirect,「友善社區重陽敬老活動」的核定名稱與活動類型支持提出 SDG 11 候選；文化或節慶方案可能連結文化保存，但活動存在不等於已保護文化遺產。,,,,0.3,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 11: Sustainable Cities and Communities（https://sdgs.un.org/goals/goal11）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2024-0010,COM-0030,ACT-2024-0010,4,4.7,indirect,「臺南市南區金華社區觀摩」的核定名稱與活動類型支持提出 SDG 4 候選；方案類型涉及非正式學習或社區觀摩，但尚未證明學習成果或永續教育內容。,,,,0.35,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 4: Quality Education（https://sdgs.un.org/goals/goal4）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2024-0011,COM-0001,ACT-2024-0011,11,11.4,indirect,「月圓花好歡唱活動」的核定名稱與活動類型支持提出 SDG 11 候選；文化或節慶方案可能連結文化保存，但活動存在不等於已保護文化遺產。,,,,0.3,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 11: Sustainable Cities and Communities（https://sdgs.un.org/goals/goal11）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2024-0012,COM-0015,ACT-2024-0012,4,4.7,indirect,「臺北市萬華區福音社區發展協會社區參訪活動」的核定名稱與活動類型支持提出 SDG 4 候選；方案類型涉及非正式學習或社區觀摩，但尚未證明學習成果或永續教育內容。,,,,0.35,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 4: Quality Education（https://sdgs.un.org/goals/goal4）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2024-0013,COM-0013,ACT-2024-0013,4,4.4,direct,「烘焙研習班」的核定名稱與活動類型支持提出 SDG 4 候選；方案名稱指向實作技能學習，但核定資料沒有技能取得或就業成果。,,,,0.4,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 4: Quality Education（https://sdgs.un.org/goals/goal4）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2024-0014,COM-0013,ACT-2024-0014,4,4.7,indirect,「績優社區觀摩」的核定名稱與活動類型支持提出 SDG 4 候選；方案類型涉及非正式學習或社區觀摩，但尚未證明學習成果或永續教育內容。,,,,0.35,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 4: Quality Education（https://sdgs.un.org/goals/goal4）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2024-0015,COM-0032,ACT-2024-0015,3,3.4,direct,「愛在孝德姊姊妹妹舞蹈班」的核定名稱與活動類型支持提出 SDG 3 候選；方案類型直接涉及健康促進，但核定資料沒有健康成果指標。,,,,0.45,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 3: Good Health and Well-Being（https://sdgs.un.org/goals/goal3）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2024-0016,COM-0032,ACT-2024-0016,11,11.4,indirect,「愛在孝德月圓人團圓」的核定名稱與活動類型支持提出 SDG 11 候選；文化或節慶方案可能連結文化保存，但活動存在不等於已保護文化遺產。,,,,0.3,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 11: Sustainable Cities and Communities（https://sdgs.un.org/goals/goal11）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
SDG-CAND-ACT-2024-0017,COM-0024,ACT-2024-0017,4,4.7,indirect,「新竹縣芎林永興社區參訪」的核定名稱與活動類型支持提出 SDG 4 候選；方案類型涉及非正式學習或社區觀摩，但尚未證明學習成果或永續教育內容。,,,,0.35,rule_based,2026-08-03,ai_assisted_candidate,113年度推動社區發展及互助共好補助計畫第二階段核定表（萬華區、南港區、中正區）,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LqM6ZqO5q615qC45a6a6KGoLeS4reato%2BiQrOiPr%2BWNl%2Ba4rygxMTMwMzIy5qC45a6aKS5wZGY%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTE0MjI4Ny9jZGQyNDcyNi0zYzExLTQ4ZDYtOGMzNy0zYjhiMzI0N2FlNTcucGRm,draft,low_evidence,false,2026-08-03T15:30:00Z,2026-08-03T15:30:00Z,1.1.0,待人工覆核。活動來源只證明方案核定與預定期間；SDG 目標定義參考 Goal 4: Quality Education（https://sdgs.un.org/goals/goal4）。沒有成果指標，不能發布為正式 SDG 成效或涵蓋率。
